Position,Company,City,Posted,Company Industry,JobText,Job Role,Career Level,Years of Experience,Degree,Soft_Skills,Hard_Skills
Guest Experience Supervisor,Accor Hotels,"Manama, Bahrain",2 days ago,Other Business Support Services,"guest experience supervisor first impressions are everything! as a guest experience supervisor , you will take care of the guests from the moment they arrive through to their departure by ensuring they have a memorable experience with us. what is in it for you:- in 3-4 bullet points, showcase the benefits and perks of working at the property- employee benefit card offering discounted rates at accor worldwide- learning programs through our academies- opportunity to develop your talent and grow within your property and across the world!- ability to make a difference through our corporate social responsibility activities, like planet 21 what you will be doing:- greet, check-in, respond to requests and settle accounts while providing exceptional service- take initiative to add a personalized experience- proudly promote the hotel facilities, looking for opportunities to enhance a guest’s stay through up-sellingyour experience and skills include:- service focused personality is essential; experience is an asset- prior experience working with opera or a related system - fluency in english; additional languages are a plus your team and working environment: - in 1-2 sentences, introduce the team, property or office environment in a way that reflects the culture note: customization may be included for any specific local or legislative requirements, such as work permits our commitment to diversity &amp; inclusion: we are an inclusive company and our ambition is to attract, recruit and promote diverse talent. why work for accor? we are far more than a worldwide leader. we welcome you as you are and you can find a job and brand that matches your personality. we support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore accor’s limitless possibilities. by joining accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. discover the life that awaits you at accor, visit https://careers.accor.com/ do what you love, care for the world, dare to challenge the status quo! #belimitless
nan",,,Unspecified,Unspecified,,
Assurance Manager (Insurance Industry),Grant Thornton Bahrain,Bahrain,2 days ago,Other Business Support Services," the grant thornton team continues to grow its market presence across bahrain, supporting dynamic clients to unlock value through the diverse services which we offer. to build on our continued growth, we are now looking to expand our audit and assurance team, for which we are seeking an assurance manager (insurance industry) with implementation of ifrs 17 experience.the suitable candidate will be responsible for supporting the development and implementation of our growth strategy in the insurance sector.responsibilities include:delivering on the following service offerings to clients within the competencies listed above, with a specific focus on ifrs 17 delivery.business impact assessments and gap analysis.technical accounting opinions and advice.development of financial reporting templates, financial statements, and general ledger configurations.liaising with internal and external experts (actuarial).developing expertise in other international financial reporting standards that impact insurers, including ifrs 9, ifrs 13, and ifrs 15.actively supporting in identifying sales opportunities in the insurance market and contributing to the preparation of proposals/tenders and presentations for these clients.identifying innovative solutions on projects/engagements to enhance/renew service offerings to the client.preparing and delivering training material to internal and external stakeholders.contributing to thought leadership and sharing of knowledge and expertise with clients, colleagues, and teams.managing client engagements and maintaining oversight of all engagements/projects within the sphere of responsibility.acting as a coach/mentor in developing team members and counselees on an ongoing basis.empowering analysts through appropriate delegation of work.strong project management and interpersonal skills.essential requirements:a minimum of 5 years post qualification experience (ca/acca/cpa). able to manage a team of professionals. professional verbal and written business communication skillsfor further information, and to apply, please visit our website via the “apply” button below.
nan",,,Unspecified,Unspecified,sales,
Cost Controller,Accor Hotels,"Manama, Bahrain",2 days ago,Other Business Support Services,"as a cost controller you are responsible to liaise closely with the food &amp; beverage department on various operational and cost related issues and your role will include key responsibilities such as:prepare the costing for recipes and menus prepared by the executive chef and suggest the selling price perform test checking on the receiving of goods at the hotel to ensure that the procedures are followed correctly prepare daily flash report of food costs and verify daily outlet void control sheets attend major banquet events with open bar, prepare p&amp;l statement of major banqueting events and prepare banquet revenue breakdown summaries randomly test the inventory of outlets by reconciling the opening stock with the closing stock, taking account of store issues and sales verify and control complimentary bar order forms, fruit baskets in the rooms, etc.cost controller should have graduate degree or accounting and at least two years previous experiences within a hotel environment. excellent verbal and written english communication skills, a sound knowledge of f&amp;b cost controlling and computer literacy is a must, while knowledge of opera, micros, fbm and sun system is an asset.the ideal candidate will be results oriented, self motivated and with a positive attitude. you have the ability to think laterally and the ability to process information and merchandise through computer systems, coupled with the ability to work independently in a dynamic team, while possessing following additional competencies: good understanding of the hotel operation &amp; the local competitors recognizing &amp; understanding differences &amp; trends planning for business &amp; analyses the needs of the operation adaptability &amp; integrity supervising people &amp; operations
nan",,,Unspecified,Unspecified,literacy,
Cost Controller,Accor Hotels,"Manama, Bahrain",2 days ago,Other Business Support Services,"as a cost controller you are responsible to liaise closely with the food &amp; beverage department on various operational and cost related issues and your role will include key responsibilities such as:prepare the costing for recipes and menus prepared by the executive chef and suggest the selling price perform test checking on the receiving of goods at the hotel to ensure that the procedures are followed correctly prepare daily flash report of food costs and verify daily outlet void control sheets attend major banquet events with open bar, prepare p&amp;l statement of major banqueting events and prepare banquet revenue breakdown summaries randomly test the inventory of outlets by reconciling the opening stock with the closing stock, taking account of store issues and sales verify and control complimentary bar order forms, fruit baskets in the rooms, etc.cost controller should have graduate degree or accounting and at least two years previous experiences within a hotel environment. excellent verbal and written english communication skills, a sound knowledge of f&amp;b cost controlling and computer literacy is a must, while knowledge of opera, micros, fbm and sun system is an asset.the ideal candidate will be results oriented, self motivated and with a positive attitude. you have the ability to think laterally and the ability to process information and merchandise through computer systems, coupled with the ability to work independently in a dynamic team, while possessing following additional competencies: good understanding of the hotel operation &amp; the local competitors recognizing &amp; understanding differences &amp; trends planning for business &amp; analyses the needs of the operation adaptability &amp; integrity supervising people &amp; operations
nan",,,Unspecified,Unspecified, supervising,
Digital Transformation Advisor,Zain,"Manama, Bahrain",2 days ago,Other Business Support Services," description zain bahrain is actively seeking candidates to occupy the position of digital transformation advisor.  what do you need to qualify job requirements:experienced in digital transformation (has led or played a key role in this area) in medium to large companies (that have legacy systems etc.).knowledge in relevant digital kpis to maintain high standards and benchmarking.knowledge of digital kpis in terms of market trends and their implementation tools e.g. google analytics; average basket size; customer journey measurement etc.knowledge and experience with e-shops and end to end delivery processes.seo and sem experience – how to increase google rankings in an organic manner.telecom experience – sales, marketing is preferred. knowledge transfer experience (training, and handover etc) in the strive for business continuity.good to have:nhir examples and experienceomnichannel experiencehow to build moments of delight into the digital experience etc.
nan",,,Unspecified,Unspecified, training,
Cost Controller,Accor Hotels,"Manama, Bahrain",2 days ago,Other Business Support Services,"as a cost controller you are responsible to liaise closely with the food &amp; beverage department on various operational and cost related issues and your role will include key responsibilities such as:prepare the costing for recipes and menus prepared by the executive chef and suggest the selling price perform test checking on the receiving of goods at the hotel to ensure that the procedures are followed correctly prepare daily flash report of food costs and verify daily outlet void control sheets attend major banquet events with open bar, prepare p&amp;l statement of major banqueting events and prepare banquet revenue breakdown summaries randomly test the inventory of outlets by reconciling the opening stock with the closing stock, taking account of store issues and sales verify and control complimentary bar order forms, fruit baskets in the rooms, etc.cost controller should have graduate degree or accounting and at least two years previous experiences within a hotel environment. excellent verbal and written english communication skills, a sound knowledge of f&amp;b cost controlling and computer literacy is a must, while knowledge of opera, micros, fbm and sun system is an asset.the ideal candidate will be results oriented, self motivated and with a positive attitude. you have the ability to think laterally and the ability to process information and merchandise through computer systems, coupled with the ability to work independently in a dynamic team, while possessing following additional competencies: good understanding of the hotel operation &amp; the local competitors recognizing &amp; understanding differences &amp; trends planning for business &amp; analyses the needs of the operation adaptability &amp; integrity supervising people &amp; operations
nan",,,Unspecified,Unspecified,sales,
Digital Transformation Advisor,Zain,"Manama, Bahrain",2 days ago,Other Business Support Services," description zain bahrain is actively seeking candidates to occupy the position of digital transformation advisor.  what do you need to qualify job requirements:experienced in digital transformation (has led or played a key role in this area) in medium to large companies (that have legacy systems etc.).knowledge in relevant digital kpis to maintain high standards and benchmarking.knowledge of digital kpis in terms of market trends and their implementation tools e.g. google analytics; average basket size; customer journey measurement etc.knowledge and experience with e-shops and end to end delivery processes.seo and sem experience – how to increase google rankings in an organic manner.telecom experience – sales, marketing is preferred. knowledge transfer experience (training, and handover etc) in the strive for business continuity.good to have:nhir examples and experienceomnichannel experiencehow to build moments of delight into the digital experience etc.
nan",,,Unspecified,Unspecified,sales,
Security Officer,DHL,Bahrain,2 days ago,Other Business Support Services,"would you like to become part of the world's most international company in the world? a company that pioneered cross-border express delivery in 1969 and is now active in more than 220 countries and territories worldwide. do you want to be part of a company that connects people worldwide? and the more people we connect, the better life will be on our planet. do you want to make a difference? then come to our ""insanely customer centric"" team and become a certified international specialist! job overviewresponsible for implementing the day-to-day operations of the security procedures within bahrain hub thus ensuring a secure and safe workplace.
main responsibilities
ensure access to the facility is controlled in accordance with security procedures and that visitors and staff are displaying their airport badges.
take the necessary corrective action against unauthorized access.
receive, process and record all visitors to the rdc and advise them of the location of their meeting.
prior to issuing a visitor’s pass, contact member of staff being visited to ensure the visitor is expected.
check material being removed from the facility by contractors has been approved by the manager responsible and customs. 
check the documentation of all dhl vehicles leaving the facility to ensure that they are covered by a manifest or customs release certificate.
input arrivals &amp; departures of vehicles in nmiv.
maintain all security records.
ensure regulatory complianc.e
ensure all gsop/tapa procedures are adhered to.
record any incident of lost property to the security supervisor.
searches/sealing of aircrafts wherever required
advice to stations and supervisors of procedural discrepancies.
conduct security screening of the personal belongings of employees, visitors and contractors entering or leaving the operations area.
screening of employees, visitors and contractors entering or leaving the facility.
x- ray screen dhl shipments and use trace detection equipment where required. capture appropriate checkpoints
patrol all areas of work with regular intervals. during off peak hours ensure all is secured and that energy is being conserved.
ensure cargo or mail to which security controls have been applied are protected from unauthorized interference 
ensure all external doors and offices are secured.
know facility’s fire &amp; evacuation procedures and act as a fire warden
know the location and types of fire extinguishers in the facility and apply appropriate fire procedures as and when required.
periodic checks on physical condition &amp; working of fire equipment 
facilitate evacuation of employees/visitors in the case of any emergency
apply first aid or efr as and when needed and be aware of the location of the fully stocked first aid kits.
report on any hazard that might potentially cause fire, damage or report any part of the building that requires maintenance.
 education &amp; experience qualifications 
5 years of relevant experience and training in aviation security, bahrain defense force or police.
high school certificate or equivalent.
good communication skills.
problem solving skills.
fluent in both arabic and english.
good knowledge of fire extinguishers and fire procedures.
basic computer skills.

nan",,,Unspecified,Unspecified, training,
Duty Security Manager,DHL,Bahrain,2 days ago,Other Business Support Services,"would you like to become part of the world's most international company in the world? a company that pioneered cross-border express delivery in 1969 and is now active in more than 220 countries and territories worldwide. do you want to be part of a company that connects people worldwide? and the more people we connect, the better life will be on our planet. do you want to make a difference? then come to our ""insanely customer centric"" team and become a certified international specialist! job overviewuphold effective security policies to ensure that dhl’s staff, assets and customers shipments are protected. manage and control security operations as well as the teams and equipment to pro-actively identify, develop and implement practices, policies and procedures that will ensure dhl remains the leader in provision of security to our employees, customers, dhl assets and information.
bah is one of the global hubs in the dhl network, with throughput volume reaching 35 million shipments a year. the job holder has to manage and ensure secure, reliable and consistent hub operations in regard to our customers’ shipments. managing a team of 60 people (and sub-contractors), the duty security manager is required to lead the team in securing the hub services in line with the global sops.
main responsibilities
customers provide security support to maintain a secure network to meet customer needs 
 security managersupport and assist the security manager in the improvement and enhancement of security of the facilities, shipments &amp; assets to satisfy customer’s needs.
provide daily update on major security events.
plan the daily shift resources and execute daily task activities.
assist security manager as and when required
 service provider – sub-contractorensure the manning level is adequate and that all activities meet operational security standard and gsop &amp; regulatory compliance.
monitor the security services provided and maintain a monthly performance report
 law enforcement, security officials, local authorities &amp; regulatory bodies, establish professional liaison to ensure strong links are maintained between dhl and such authorities.
 customs manage smooth relationship with customs authorities and report discoveries of any contrabands during the screening process
 operations ensure security screening standards are being adhered to 100%
react promptly to inquiries directed from customer services, ensuring all shipment related queries are investigated and conclusions communicated.
support operations for value added services in order to meet customers’ requirements
enlist the support of all dhl staff at bah hub, country office &amp; mail distribution centre to ensure that dhl’s environment is safe and secure
 security support to provide necessary assistance to the security management as and when it is required. 
report to security manager on all security related matters and to support the team at all times.
ensure compliance to security procedures &amp; processes
consistently monitor access control database and perform quarterly reviews
manage hris for employees leave, bonus &amp; overtime 
extract and analyse monthly tip reportsexternal security analysis
maintain security level &amp; corresponding actions in accordance with current threat levels. 
assist duty security manager to co-ordinate positive measures to ensure business continuity.
 shift operations managementcoordinate shift operations to meet operational demands upholding high quality standard, complying to global sop/ tapa/iosa/ra3/bcaa/bac regulations
co-ordinate hub, country office &amp; mail distribution centre security activities and ensure compliance of dhl staff and sub-contractors with security procedures as specified in the regional security policy and procedures manual.
initiate, co-ordinate and conduct security related investigations such as losses and other security incidents relating to dhl assets, personnel and shipments carried by dhl.
respond accurately and make prompt and effective decisions to address any issues encountered during the shift operation
meet with duty security supervisors to discuss operations execution plan and resource allocations.
monitor operations to ensure security regulations and standard operating procedures are met and have been implemented.
conduct daily shift briefing and ensure close communication and co-ordination between different functions to maintain high levels of security.
responsible for maintaining the fte expenses as a result to optimum the usage of manpower
regularly coordinate security equipment checks to initiate proactive maintenance in cases of potential failure
ensure regular maintenance of equipment to guarantee 100% operational effectiveness 24 x 7 / 365.
enforce the shipment security measures and controls
ensure compliance to regionally accredited industry bodies such as tapa.
 security case management system – information managementprovide input and participate in the reporting of security incidents into the database
prepare and analyse the database information for the production of regular reports on shipment and other security incidents, including dangerous goods. where appropriate, recommend and initiate actions to investigate and resolve significant security incidents as they occur.
 aviation securityprovide support to comply with the aviation security requirements of local authorities
 
nan",,,Unspecified,Unspecified, management,
Graduate Project Surveyor (Bahraini National),AECOM,Bahrain,2 days ago,Other Business Support Services,"

nan",,,Unspecified,Unspecified,,
Beauty Advisor - Debenhams Cosmetics - Bahrain,Alshaya Trade,Bahrain,2 days ago,Other Business Support Services," beauty advisor - debenhams cosmetics - bahrain  apply now job no: 3660660location: bahrain bahrain city centre  debenhams debenhams is a leading department store chain that originated in the uk and carries a full range of cosmetics, womenswear, lingerie, accessories, menswear, childrenswear and home. the store offers a unique combination of exclusive designer brands, international brands and debenhams' own collection. our customers are enticed inside because we stock the latest trends, and the customer service ensures customers return. as a brand we are knowledgeable, enthusiastic and driven. the role:as an ambassador for your brand, you will be demonstrating and recommending premium cosmetics and skincare. excellent customer service skills are needed along with the ability to maximise sales at every opportunity. this is an exciting role in which you will participate in product launches to attract new customers and build a great rapport with existing ones.qualifications &amp; requirements:you will have:- a minimum of 1 year's experience in sales, cosmetics or beauty products- good energy and communication skills- fluency in the arabic language( prefer bahraini nationals)- good knowledge of skin care products is an advantage.about us: alshaya group is a dynamic family-owned enterprise which was first established in kuwait in 1890. with a consistent record of growth and innovation, alshaya group is one of the world’s leading brand franchise operators, offering customers an unparalleled choice of well-loved international brands, including: starbucks, h&amp;m, mothercare, debenhams, cos, american eagle outfitters, p.f. chang’s, the cheesecake factory, the body shop, m.a.c, victoria’s secret, boots, vavavoom, pottery barn and kidzania. alshaya group’s portfolio extends across mena, russia, turkey, and europe, with thousands of stores, cafes, restaurants and leisure destinations, as well as a growing online and digital business.  operating in multiple sectors including fashion, food, health &amp; beauty, pharmacy, home furnishings and leisure &amp; entertainment, alshaya group colleagues are united by a commitment to delivering great customer service and brand experiences. fresh, modern, and relevant, alshaya’s constantly evolving retail portfolio reflects the choices and lifestyle of its customers. from flagship stores and restaurants in prestige malls, to local coffee shops, drive-thrus and online, alshaya group brings customers the brands they love in the places they want to be. advertised: 21 jul 2022  arab standard timeapplication close: 20 aug 2022  arab standard time back to search results apply now refer a friendshare this:      | more 
nan",,,Unspecified,Unspecified, customer service,
Beauty Advisor - Debenhams Cosmetics - Bahrain,Alshaya Trade,Bahrain,2 days ago,Other Business Support Services," beauty advisor - debenhams cosmetics - bahrain  apply now job no: 3660660location: bahrain bahrain city centre  debenhams debenhams is a leading department store chain that originated in the uk and carries a full range of cosmetics, womenswear, lingerie, accessories, menswear, childrenswear and home. the store offers a unique combination of exclusive designer brands, international brands and debenhams' own collection. our customers are enticed inside because we stock the latest trends, and the customer service ensures customers return. as a brand we are knowledgeable, enthusiastic and driven. the role:as an ambassador for your brand, you will be demonstrating and recommending premium cosmetics and skincare. excellent customer service skills are needed along with the ability to maximise sales at every opportunity. this is an exciting role in which you will participate in product launches to attract new customers and build a great rapport with existing ones.qualifications &amp; requirements:you will have:- a minimum of 1 year's experience in sales, cosmetics or beauty products- good energy and communication skills- fluency in the arabic language( prefer bahraini nationals)- good knowledge of skin care products is an advantage.about us: alshaya group is a dynamic family-owned enterprise which was first established in kuwait in 1890. with a consistent record of growth and innovation, alshaya group is one of the world’s leading brand franchise operators, offering customers an unparalleled choice of well-loved international brands, including: starbucks, h&amp;m, mothercare, debenhams, cos, american eagle outfitters, p.f. chang’s, the cheesecake factory, the body shop, m.a.c, victoria’s secret, boots, vavavoom, pottery barn and kidzania. alshaya group’s portfolio extends across mena, russia, turkey, and europe, with thousands of stores, cafes, restaurants and leisure destinations, as well as a growing online and digital business.  operating in multiple sectors including fashion, food, health &amp; beauty, pharmacy, home furnishings and leisure &amp; entertainment, alshaya group colleagues are united by a commitment to delivering great customer service and brand experiences. fresh, modern, and relevant, alshaya’s constantly evolving retail portfolio reflects the choices and lifestyle of its customers. from flagship stores and restaurants in prestige malls, to local coffee shops, drive-thrus and online, alshaya group brings customers the brands they love in the places they want to be. advertised: 21 jul 2022  arab standard timeapplication close: 20 aug 2022  arab standard time back to search results apply now refer a friendshare this:      | more 
nan",,,Unspecified,Unspecified,,
Crew - Shake Shack - Bahrain,Alshaya Trade,Bahrain,2 days ago,Other Business Support Services," crew - shake shack - bahrain  apply now job no: 3685937location: bahrain the avenues bahrain  shake shack shake shack® is a modern day ""roadside"" burger stand known for its delicious burgers, flat-top dogs, frozen custard and more. with its fresh and simple, high-quality food at a great value, shake shack is a fun and lively place to eat. all of the food at shake shack is made to order (from burgers to shakes to everything in between) and the staff are efficient, friendly and proud to welcome you. the role:as a member of our crew, and a representative of our brand, you will provide customers with excellent customer service ensuring that they have an enjoyable dining experience and want to make return visits.qualifications &amp; requirements:you will have/be:• at least 1-2 years' experience in a high volume, fast-paced restaurant• excellent communications skills in english (arabic would be an advantage)• computer knowledge.about us: alshaya group is a dynamic family-owned enterprise which was first established in kuwait in 1890. with a consistent record of growth and innovation, alshaya group is one of the world’s leading brand franchise operators, offering customers an unparalleled choice of well-loved international brands, including: starbucks, h&amp;m, mothercare, debenhams, cos, american eagle outfitters, p.f. chang’s, the cheesecake factory, the body shop, m.a.c, victoria’s secret, boots, vavavoom, pottery barn and kidzania. alshaya group’s portfolio extends across mena, russia, turkey, and europe, with thousands of stores, cafes, restaurants and leisure destinations, as well as a growing online and digital business.  operating in multiple sectors including fashion, food, health &amp; beauty, pharmacy, home furnishings and leisure &amp; entertainment, alshaya group colleagues are united by a commitment to delivering great customer service and brand experiences. fresh, modern, and relevant, alshaya’s constantly evolving retail portfolio reflects the choices and lifestyle of its customers. from flagship stores and restaurants in prestige malls, to local coffee shops, drive-thrus and online, alshaya group brings customers the brands they love in the places they want to be. advertised: 21 jul 2022  arab standard timeapplication close: 20 aug 2022  arab standard time back to search results apply now refer a friendshare this:      | more 
nan",,,Unspecified,Unspecified, customer service,
Assistant Construction Project Manager I,AECOM,Bahrain,2 days ago,Other Business Support Services,"

nan",,,Unspecified,Unspecified,,
Line Cook - The Cheesecake Factory - Bahrain,Alshaya Trade,Bahrain,2 days ago,Other Business Support Services," line cook - the cheesecake factory - bahrain  apply now job no: 3682961location: bahrain the avenues bahrain  the cheesecake factory the cheesecake factory created their upscale casual dining restaurant in 1978 with the opening of their first restaurant in beverley hills, ca. now famous for the generous portions and dessert menu featuring 50 cheesecakes and specialty desserts, the brand has expanded in to the middle east. there are many exciting and rewarding career opportunities for leaders who share the belief that innovation, commitment to excellence, and uncompromising quality are critical to success. each individual's efforts and skills are necessary to the success of the brand as a whole. as a staff member, the cheesecake factory mission is ""to create an environment where absolute guest satisfaction is our highest priority"". the role:this key role ensures the highest quality food is served at all times from our ""scratch"" kitchen. the line cook is responsible for all aspects of their assigned cooking station from setting up to cooking and presenting dishes according to company recipes.qualifications &amp; requirements:you will have:• previous restaurant experience, especially working quickly in a confined area while standing for extended periods of time• knowledge of weights, measurements, volume and cooking procedures• ability to work positively in a fast-paced environment and within a team• basic english reading and communication skills• strong attention to detail.about us: alshaya group is a dynamic family-owned enterprise which was first established in kuwait in 1890. with a consistent record of growth and innovation, alshaya group is one of the world’s leading brand franchise operators, offering customers an unparalleled choice of well-loved international brands, including: starbucks, h&amp;m, mothercare, debenhams, cos, american eagle outfitters, p.f. chang’s, the cheesecake factory, the body shop, m.a.c, victoria’s secret, boots, vavavoom, pottery barn and kidzania. alshaya group’s portfolio extends across mena, russia, turkey, and europe, with thousands of stores, cafes, restaurants and leisure destinations, as well as a growing online and digital business.  operating in multiple sectors including fashion, food, health &amp; beauty, pharmacy, home furnishings and leisure &amp; entertainment, alshaya group colleagues are united by a commitment to delivering great customer service and brand experiences. fresh, modern, and relevant, alshaya’s constantly evolving retail portfolio reflects the choices and lifestyle of its customers. from flagship stores and restaurants in prestige malls, to local coffee shops, drive-thrus and online, alshaya group brings customers the brands they love in the places they want to be. advertised: 21 jul 2022  arab standard timeapplication close: 20 aug 2022  arab standard time back to search results apply now refer a friendshare this:      | more 
nan",,,Unspecified,Unspecified, customer service,
Cook II - La Plage,Marriott,"Manama, Bahrain",2 days ago,Other Business Support Services,"job number 22125001 job category food and beverage &amp; culinary location the ritz-carlton bahrain, building 112 road 40, manama, bahrain, bahrain view on map schedule full-time located remotely? n relocation? n position type non-management position summary prepare ingredients for cooking, including portioning, chopping, and storing food. wash and peel fresh fruits and vegetables. weigh, measure, and mix ingredients. prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. prepare cold foods. operate ovens, stoves, grills, microwaves, and fryers. test foods to determine if they have been cooked sufficiently. monitor food quality while preparing food. set-up and break down work station. serve food in proper portions onto proper receptacles. wash and disinfect kitchen area, tables, tools, knives, and equipment. check and ensure the correctness of the temperature of appliances and food. follow all company and safety and security policies and procedures; report maintenance needs, accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. speak with others using clear and professional language. develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. ensure adherence to quality expectations and standards. stand, sit, or walk for an extended period of time or for an entire work shift. reach overhead and below the knees, including bending, twisting, pulling, and stooping. move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance. perform other reasonable job duties as requested by supervisors. marriott international is an equal opportunity employer. we believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. we are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. at more than 100 award-winning properties worldwide, the ritz-carlton ladies and gentlemen create experiences so exceptional that long after a guest stays with us, the experience stays with them. as the premier worldwide provider of luxury experiences, we set the standard for rare and special luxury service the world over. we invite you to explore the ritz-carlton.
nan",,,Unspecified,Unspecified, management,
Cook II - La Plage,Marriott,"Manama, Bahrain",2 days ago,Other Business Support Services,"job number 22125001 job category food and beverage &amp; culinary location the ritz-carlton bahrain, building 112 road 40, manama, bahrain, bahrain view on map schedule full-time located remotely? n relocation? n position type non-management position summary prepare ingredients for cooking, including portioning, chopping, and storing food. wash and peel fresh fruits and vegetables. weigh, measure, and mix ingredients. prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. prepare cold foods. operate ovens, stoves, grills, microwaves, and fryers. test foods to determine if they have been cooked sufficiently. monitor food quality while preparing food. set-up and break down work station. serve food in proper portions onto proper receptacles. wash and disinfect kitchen area, tables, tools, knives, and equipment. check and ensure the correctness of the temperature of appliances and food. follow all company and safety and security policies and procedures; report maintenance needs, accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. speak with others using clear and professional language. develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. ensure adherence to quality expectations and standards. stand, sit, or walk for an extended period of time or for an entire work shift. reach overhead and below the knees, including bending, twisting, pulling, and stooping. move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance. perform other reasonable job duties as requested by supervisors. marriott international is an equal opportunity employer. we believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. we are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. at more than 100 award-winning properties worldwide, the ritz-carlton ladies and gentlemen create experiences so exceptional that long after a guest stays with us, the experience stays with them. as the premier worldwide provider of luxury experiences, we set the standard for rare and special luxury service the world over. we invite you to explore the ritz-carlton.
nan",,,Unspecified,Unspecified, training,
Server-Mexican Restaurant,Marriott,"Manama, Bahrain",2 days ago,Other Business Support Services,"job number 22124998 job category food and beverage &amp; culinary location the ritz-carlton bahrain, building 112 road 40, manama, bahrain, bahrain view on map schedule full-time located remotely? n relocation? n position type non-management explore our very big world we welcome you to join our global and diverse family. whether you’re new to hospitality or a seasoned professional, you can come to us knowing that you will always be appreciated for your natural talents. your positive energy and people-pleasing mindset are an important part of why our guests stay with us again and again. rewards for work, benefits for life you’ll be supported in and out of the workplace through: discounts on hotel rooms, gift shop items, food and beverage learning and development opportunities recognition programs wellbeing programs encouraging management team-spirited colleagues the impact you’ll make you know the finest details of our menu and can’t wait to share your expertise with our guests. when they dine with us, your warm greeting, flawless table settings, and your friendly demeanor do not go unnoticed. no matter the day, you set out to provide each guest with a dining experience that will be remembered long after their stay. what you’ll be doing welcome guests and promptly attend to tables serve food and beverages to guests making recommendations if needed share your menu knowledge to assist guests with questions and special requests record transactions in the micros system correctly and timely check-in with guests to assure satisfaction with each course and beverage clean tables, complete closing duties and re-stock tableware and other supplies what we’re looking for great conversational skills and teamwork-oriented positive outlook and outgoing personality previous serving experience is a big plus this role requires the ability to move and lift up to 25 lbs. standing, sitting or walking for extended periods of time and ensuring a professional appearance in a clean uniform are also required. prior to employment, we’ll ask you to complete safety training and certification. connect your passions with a rewarding opportunity you’re a food and beverage enthusiast who really enjoys making others feel at home. when you work with us, you'll get to entertain and meet people from all over the world as you build your experience. join us and grow through opportunities to explore the business, opening yourself to various career options. no matter your path, we’ll make sure you feel right at home. marriott international is an equal opportunity employer. we believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. we are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. at more than 100 award-winning properties worldwide, the ritz-carlton ladies and gentlemen create experiences so exceptional that long after a guest stays with us, the experience stays with them. as the premier worldwide provider of luxury experiences, we set the standard for rare and special luxury service the world over. we invite you to explore the ritz-carlton.
nan",,,Unspecified,Unspecified, management,
